,age,Medu,traveltime,studytime,failures,goout,Dalc,absences,address_U,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other,higher_yes,internet_yes,romantic_yes,G3
0,0.4285714285714284,0.75,0.0,0.3333333333333333,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,8
1,0.2857142857142856,0.5,0.3333333333333333,0.0,1.0,0.0,0.0,0.02666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10
2,0.2857142857142856,0.5,0.0,0.0,0.0,0.25,0.0,0.28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,13
3,0.5714285714285712,0.25,0.6666666666666667,0.3333333333333333,0.6666666666666666,0.75,0.0,0.02666666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9
4,0.1428571428571428,0.25,0.0,0.0,0.3333333333333333,0.5,0.0,0.02666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8
5,0.1428571428571428,1.0,0.0,0.6666666666666667,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,16
6,0.1428571428571428,0.25,0.0,0.3333333333333333,0.6666666666666666,0.75,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,10
7,0.0,0.75,0.3333333333333333,0.6666666666666667,0.0,0.0,0.25,0.02666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,13
8,0.2857142857142856,0.75,0.0,0.3333333333333333,0.0,0.75,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,14
9,0.2857142857142856,1.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.25,0.02666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,12
10,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,14
11,0.1428571428571428,0.75,0.0,0.6666666666666667,0.0,0.25,0.0,0.05333333333333334,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,11
12,0.1428571428571428,1.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.21333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,11
